"id","date","time","long","lat","depth","mag","src"
"3919","1998-07-09","04:55:06","-80.85","-0.99","11.2","4.2","IGEPN"
"3914","1998-07-14","14:55:05","-81.08","-1.12","8","3.7","IGEPN"
"3913","1998-07-14","20:22:42","-80.82","-0.96","6","3.7","IGEPN"
"3898","1998-07-31","07:31:57","-80.24","0.13","18.4","4","IGEPN"
"3896","1998-08-04","12:35:03","-80.48","-0.53","37.03","5.2","IGEPN"
"3895","1998-08-04","13:59:18","-80.66","-0.49","34.6","7.1","IGEPN"
"3894","1998-08-04","14:21:38","-80.51","-0.63","37.69","3.9","IGEPN"
"3893","1998-08-04","14:48:54","-80.92","-0.51","15.36","3.9","IGEPN"
"3892","1998-08-04","14:57:45","-80.59","-0.63","35.61","3.7","IGEPN"
"3890","1998-08-04","15:12:47","-80.55","-0.71","21.5","4","IGEPN"
"3889","1998-08-04","15:27:00","-80.61","-0.71","35.86","3.9","IGEPN"
"3888","1998-08-04","15:58:16","-80.57","-0.72","21.5","3.9","IGEPN"
"3887","1998-08-04","16:09:49","-80.45","-0.36","38.6","4","IGEPN"
"3886","1998-08-04","16:56:12","-80.26","-0.49","19","3.8","IGEPN"
"3885","1998-08-04","17:29:04","-80.31","-0.5","22.7","3.6","IGEPN"
"3884","1998-08-04","17:55:28","-80.43","-0.34","25.3","4.2","IGEPN"
"3883","1998-08-04","18:29:39","-81.01","-0.66","16.12","3.6","IGEPN"
"3882","1998-08-04","20:19:19","-80.66","-0.54","12.3","3.8","IGEPN"
"3881","1998-08-04","23:01:29","-80.6","-0.61","39.9","4","IGEPN"
"3880","1998-08-05","04:51:32","-80.83","-1.29","39","3.7","IGEPN"
"3879","1998-08-05","08:21:39","-80.57","-0.22","15.1","3.9","IGEPN"
"3878","1998-08-05","09:28:16","-80.8","-0.88","17.2","3.7","IGEPN"
"3877","1998-08-05","13:30:35","-81.02","-0.24","12","4.1","IGEPN"
"3876","1998-08-05","16:33:55","-80.44","-0.38","42","4.2","IGEPN"
"3875","1998-08-05","16:40:36","-81.06","-0.75","20.57","4.1","IGEPN"
"3874","1998-08-05","17:16:46","-80.63","-0.48","9","4","IGEPN"
"3873","1998-08-06","04:48:09","-80.88","-0.13","18.66","3.7","IGEPN"
"3872","1998-08-06","06:02:32","-80.56","-0.14","57.7","3.7","ISC"
"3871","1998-08-06","19:02:22","-80.57","-0.91","16.9","4","IGEPN"
"3870","1998-08-06","21:59:29","-80.91","-0.77","2.7","4","IGEPN"
"3869","1998-08-06","22:06:34","-80.94","-0.78","4","4","IGEPN"
"3868","1998-08-06","23:35:00","-80.84","-0.83","2.4","4","IGEPN"
"3867","1998-08-07","00:38:23","-80.92","-0.84","4.3","3.9","IGEPN"
"3866","1998-08-07","00:50:41","-80.61","-0.59","42","4.4","IGEPN"
"3865","1998-08-07","20:33:28","-80.87","-0.82","0.5","4.1","IGEPN"
"3864","1998-08-07","21:57:34","-80.58","-0.67","24.4","3.7","IGEPN"
"3863","1998-08-07","22:03:24","-80.58","-0.21","12.2","3.9","IGEPN"
"3862","1998-08-07","22:51:21","-81.2","-0.79","3.72","3.6","IGEPN"
"3861","1998-08-08","01:26:23","-80.88","-0.8","2","4.3","IGEPN"
"3860","1998-08-08","02:33:44","-81.17","-0.84","18.37","3.6","IGEPN"
"3859","1998-08-08","05:13:55","-81.16","-0.79","10.31","3.8","IGEPN"
"3858","1998-08-08","08:02:11","-81.11","-0.87","3.07","3.7","IGEPN"
"3857","1998-08-08","09:56:57","-80.56","-0.68","39.49","3.6","IGEPN"
"3856","1998-08-08","17:58:04","-80.91","-0.71","6.6","3.7","IGEPN"
"3855","1998-08-08","18:28:38","-81.18","-0.62","49","3.7","IGEPN"
"3854","1998-08-09","01:42:23","-80.86","-0.94","12.2","3.8","IGEPN"
"3853","1998-08-09","05:23:41","-81.02","-0.44","19.22","3.7","IGEPN"
"3852","1998-08-09","17:35:17","-80.99","-0.79","3.2","4.1","IGEPN"
"3851","1998-08-10","01:28:48","-80.77","-0.62","52","3.6","IGEPN"
"3850","1998-08-10","02:18:55","-80.49","-0.65","39.08","3.8","IGEPN"
"3849","1998-08-10","08:30:40","-80.44","-1","10","3.6","IGEPN"
"3848","1998-08-10","11:09:52","-80.92","-0.1","17.63","3.7","IGEPN"
"3846","1998-08-11","11:32:18","-80.95","-0.24","46.27","3.6","IGEPN"
"3845","1998-08-11","15:53:02","-80.61","-0.73","18.3","4.2","IGEPN"
"3844","1998-08-13","19:58:21","-80.29","-0.45","27.6","3.8","IGEPN"
"3843","1998-08-15","11:18:35","-81.1","-1.47","20","3.7","IGEPN"
"3841","1998-08-17","09:17:08","-80.27","-1.22","0","3.8","IGEPN"
"3840","1998-08-17","09:18:04","-80.49","-1.14","9.1","3.8","IGEPN"
"3839","1998-08-17","12:28:00","-80.63","-0.69","35","3.7","IGEPN"
"3838","1998-08-19","21:48:26","-80.61","-1.36","27.24","3.7","IGEPN"
"3834","1998-08-24","23:03:06","-80.5","-1.18","19.3","3.7","IGEPN"
"3833","1998-08-25","16:46:30","-80.47","-0.68","25.61","4","IGEPN"
"3831","1998-09-05","01:13:47","-80.61","-0.64","26.2","3.6","IGEPN"
"3826","1998-09-08","23:40:39","-80.43","-1.15","10.5","3.7","IGEPN"
"3825","1998-09-10","14:45:53","-80.67","-0.66","24.1","3.6","IGEPN"
"3824","1998-09-12","17:40:03","-81.1","-0.9","6.5","4.1","IGEPN"
"3823","1998-09-12","19:19:18","-80.48","-0.44","38.64","3.7","IGEPN"
"3821","1998-09-13","00:12:33","-81.06","-0.82","25","4.2","ISC"
"3817","1998-09-22","09:13:59","-80.77","-1.06","16.1","3.8","IGEPN"
"3814","1998-10-01","13:50:16","-80.82","-1.14","13.6","3.9","IGEPN"
"3813","1998-10-07","16:08:09","-80.91","-0.22","51","3.7","IGEPN"
"3811","1998-10-11","04:09:47","-80.91","-0.08","31.93","3.8","IGEPN"
"3810","1998-10-11","04:46:56","-80.82","-0.17","38.07","3.6","IGEPN"
"3804","1998-10-24","02:38:35","-80.53","-1.08","18","3.7","IGEPN"
"3803","1998-11-01","18:37:05","-80.6","-0.76","39.77","4","IGEPN"
"3800","1998-11-06","22:28:59","-81.09","-0.45","9.78","3.9","IGEPN"
"3799","1998-11-06","22:39:08","-80.89","-0.75","7.6","3.9","IGEPN"
"3798","1998-11-11","09:45:19","-80.81","-0.66","0.3","3.6","IGEPN"
"3793","1998-12-02","06:09:08","-80.26","-1.03","22.5","3.8","IGEPN"
"3791","1998-12-04","18:34:59","-80.99","-1.11","24","3.6","IGEPN"
"3784","1998-12-16","02:49:42","-80.37","-1.37","12","3.6","IGEPN"
"3782","1998-12-21","13:13:24","-79.96","0.54","21.8","4","IGEPN"
"3781","1998-12-22","11:08:05","-79.94","0.55","19.7","3.7","IGEPN"
"3780","1998-12-23","11:12:14","-79.93","0.51","24","3.8","IGEPN"
"3772","1999-01-15","06:12:05","-79.97","0.01","30","3.6","IGEPN"
"3736","1999-05-24","21:15:52","-80.45","-0.68","39.4","4.3","IGEPN"
"3709","1999-08-25","16:41:07","-80.33","0.69","6.2","3.8","IGEPN"
"3708","1999-08-27","20:06:23","-80.5","0.8","36","3.9","IGEPN"
"3707","1999-08-27","21:52:09","-80.39","0.71","12.5","4.5","IGEPN"
"3705","1999-08-30","02:13:33","-80.4","0.24","5","4","IGEPN"
